,category
0,bias
1,bias
2,ethics
3,bias
4,policy
5,align
6,xai
7,ethics
8,policy
9,soc
10,bias
11,bias
12,bias
13,align
14,soc
15,soc
16,xai
17,xai
18,ethics
19,bias
20,soc
21,align
22,bias
23,policy
24,soc
25,bias
26,xai
27,bias
28,soc
29,ethics
30,ethics
31,bias
32,ethics
33,ethics
34,bias
35,bias
36,ethics
37,align
38,policy
39,align
40,xai
41,xai
42,ethics
43,ethics
44,bias
45,ethics
46,bias
47,soc
48,bias
49,policy
50,policy
51,bias
52,xai
53,bias
54,xai
55,policy
56,ethics
57,align
58,bias
59,ethics
60,bias
61,align
62,soc
63,xai
64,soc
65,align
66,ethics
67,xai
68,xai
69,ethics
70,bias
71,bias
72,policy
73,bias
74,policy
75,soc
76,ethics
77,policy
